unani_herb__formulations,botanic_name,parts_used,temperament,ingredients,diseases,symptoms_relieved,dosage,treatment,unnamed:_9,unani_herb__formulations_ur,botanic_name_ur,parts_used_ur,temperament_ur,ingredients_ur,diseases_ur,symptoms_relieved_ur,dosage_ur,treatment_ur
Qust-e-Shireen,saussurea lappa,root,hot dry,['costuslactone'],['asthma rheumatism'],['joint pain wheezing'],1 3g powder,the herb formulation is used in the treatment of asthma rheumatism,,قستِ شیرین,ساؤسوریہ لاپپا,جڑ,گرم خشک,['کوسٹاسلیکٹون'],['آسمہ رومیٹزم'],['مشترکہ درد اور سانس لینے'],1 3 گرام پاؤڈر,جڑی بوٹیوں کی تشکیل آسمہ رومیٹزم کے علاج میں استعمال کی جاتی ہے
Bisfaij,delphinium denudatum,root,hot dry,['alkaloids'],['nervous disorders'],['tremors paralysis'],500mg 1g powder,the herb formulation is used in the treatment of nervous disorders,,بیسفائیج,ڈلفینیم ڈینوڈاتم,جڑ,گرم خشک,['الکلوئڈ'],['اعصابی خرابی'],['زلزلے کا مفلوج'],500mg 1g پاؤڈر,اعصابی امراض کے علاج میں جڑی بوٹیوں کا فارمولا استعمال کیا جاتا ہے
Gheekwar,aloe vera,gel,cold wet,['aloin'],['burns constipation'],['skin irritation hard stools'],10 20ml gel,the herb formulation is used in the treatment of burns constipation,,گِکوار,ایلو ویرا,جیل,سرد گیلے,['الون'],['جلتی ہے قبض'],['جلد کی تڑپنے والی سخت فول'],10 20 ملی لیٹر جیل,جڑی بوٹیوں کی تشکیل جلن کے علاج میں استعمال کیا جاتا ہے قبض
Karanj,pongamia pinnata,seeds,hot dry,['karanjin'],['skin diseases'],['eczema scabies'],3 5g oil topically,the herb formulation is used in the treatment of skin diseases,,کرنج,پونگامیہ پنٹا,بیج,گرم خشک,['کارینجن'],['جلد کی بیماریاں'],['ایگزما سکیب'],3 5 جی تیل مقامی طور پر,جڑی بوٹیوں کی تشکیل جلد کی بیماریوں کے علاج میں استعمال کی جاتی ہے
Chobchini,smilax china,root,hot dry,['sarsasapogenin'],['syphilis psoriasis'],['skin lesions pain'],3g decoction,the herb formulation is used in the treatment of syphilis psoriasis,,چوبچینی,مسکراہٹ چینی,جڑ,گرم خشک,['سارساپوجینن'],['سیفلس پسوریازس'],['جلد کی زخم درد'],3 جی ڈائیکوریشن,جڑی بوٹیوں کی تشکیل کو سیفلس پسوریازس کے علاج میں استعمال کیا جاتا ہے
Gilo,tinospora cordifolia,stem,hot dry,['berberine'],['fever immunity'],['weakness infections'],5 10g decoction,the herb formulation is used in the treatment of fever immunity,,گیلو,ٹینوسپورا کارڈفولیا,ٹانگ,گرم خشک,['بربرین'],['بخار سے بچاؤ'],['کمزور بیماریاں'],5 10 جی ڈائیکوریشن,جڑی بوٹیوں کی تشکیل بخار کی قوت مدافعت کے علاج میں استعمال کی جاتی ہے
Hara Singhar,nyctanthes arbor tristis,leaves,cold dry,['arbortristoside'],['fever arthritis'],['joint swelling pain'],5g juice,the herb formulation is used in the treatment of fever arthritis,,ہارا سنگھار,نکتنتھس درخت ٹریسٹس,پتیاں,سرد خشک,['آبرٹرسٹوسائڈ'],['بخار آرتھرائٹس'],['مشترکہ سوجن درد'],5 جی رس,جڑی بوٹیوں کی تشکیل بخار کی آرتھرائٹس کے علاج میں استعمال کی جاتی ہے
Jatamansi,nardostachys jatamansi,root,cold dry,['jatamansone'],['insomnia stress'],['anxiety palpitations'],1 3g powder,the herb formulation is used in the treatment of insomnia stress,,جٹامانسی,نردوسٹاکس جٹامنس,جڑ,سرد خشک,['جٹمانسون'],['بے خوابی کا تناؤ'],['اضطراب کے دل کے دھڑکنے'],1 3 گرام پاؤڈر,جڑی بوٹیوں کی تشکیل کو بے خوابی کے تناؤ کے علاج میں استعمال کیا جاتا ہے
Kutki,picrorhiza kurroa,root,cold dry,['kutkin'],['liver disorders'],['jaundice hepatitis'],500mg 1g powder,the herb formulation is used in the treatment of liver disorders,,کٹکی,picrorhiza kurroa,جڑ,سرد خشک,['کٹکن'],['جگر کی خرابی'],['پیلے رنگ کی ہیپاٹائٹس'],500mg 1g پاؤڈر,جگر کی خرابیوں کے علاج میں جڑی بوٹی کی تشکیل کا استعمال کیا جاتا ہے
Mulethi,glycyrrhiza glabra,root,hot wet,['glycyrrhizin'],['cough ulcers'],['sore throat acidity'],3 5g chew sticks,the herb formulation is used in the treatment of cough ulcers,,مولتی,گلیکیریزا گلابرا,جڑ,گرم مٹی,['گلیسیریزین'],['کھانسی کے زخم'],['گلے میں درد'],3 5 جی کاٹنے کے لئیے چھڑیاں,ہرس کے زخموں کے علاج میں جڑی بوٹی کا فارمولا استعمال کیا جاتا ہے
